occID,occ,occ_ctg,occ_grp,NOTE
4,ADVOCATE,"Administration, courts and police",Government,
7,AMBASSADOR,"Administration, courts and police",Government,
16,ASSISTANT,"Administration, courts and police",Government,
118,CIVIL SERVICE,"Administration, courts and police",Government,
120,CLERK,"Administration, courts and police",Government,
138,COLONIST,"Administration, courts and police",Government,
144,COMMISSIONER,"Administration, courts and police",Government,
150,CONSUL,"Administration, courts and police",Government,
171,DELEGATE,"Administration, courts and police",Government,
177,DIPLOMAT,"Administration, courts and police",Government,
225,FIREMAN,"Administration, courts and police",Government,
273,GOVERNMENT OFFICER,"Administration, courts and police",Government,
274,GOVERNMENT SERVICE,"Administration, courts and police",Government,
334,JAILER,"Administration, courts and police",Government,
344,JUDGE,"Administration, courts and police",Government,
382,MANAGER,"Administration, courts and police",Government,
396,MAYOR,"Administration, courts and police",Government,
431,NOTARY PUBLIC,"Administration, courts and police",Government,
472,POLICEMAN,"Administration, courts and police",Government,
479,PRESIDENT,"Administration, courts and police",Government,
537,SENATOR,"Administration, courts and police",Government,
6,"AGRICULTURIST, AGRICULTURALIST",Agriculture,Agriculture,
160,COUNTRY WOMAN,Agriculture,Agriculture,
162,CULTIVATOR,Agriculture,Agriculture,
212,FARM HAND,Agriculture,Agriculture,
213,"FARM LABORER, FARMBOY",Agriculture,Agriculture,
214,FARMER,Agriculture,Agriculture,
241,FRUIT GROWER,Agriculture,Agriculture,
250,"GARDENER, GROWER",Agriculture,Agriculture,
398,MEALER,Agriculture,Agriculture,
450,PEASANT,Agriculture,Agriculture,
465,PLANTER,Agriculture,Agriculture,
469,PLOW HOLDER,Agriculture,Agriculture,
540,SETTLER,Agriculture,Agriculture,
649,TURF CUTTER,Agriculture,Agriculture,
663,VINE-DRESSER,Agriculture,Agriculture,
664,VINTNER,Agriculture,Agriculture,
11,ARMY,Armed forces,Government,
12,ARMY OFFICER,Armed forces,Government,
81,CADET,Armed forces,Government,
253,GENERAL,Armed forces,Government,
405,MILITARY,Armed forces,Government,
424,NAVY,Armed forces,Government,
433,OFFICER,Armed forces,Government,
488,PRIVATEER,Armed forces,Government,
577,SOLDIER,Armed forces,Government,
80,"CABMAN, CABDRIVER",Carrier trade,Transportation and communication,
172,DELIVERY MAN,Carrier trade,Transportation and communication,
476,POST OFFICER,Carrier trade,Transportation and communication,
512,RIGGER,Water transport,Transportation and communication,
546,SHIP BROKER,Water transport,Transportation and communication,
549,SHIP CHANDLER,Water transport,Transportation and communication,
285,GYPSER,"Cement industry, manufacture of artificial stone",Manufacturing and mining,
71,"BROKER, SHARE BROKER",Commercial brokerage services,Trade and commerce,
142,COMMERCIAL TRAVELLER,Undetermined,NA,
143,COMMISSION AGENT,Commercial brokerage services,Trade and commerce,
151,CONSULTANT,Commercial brokerage services,Trade and commerce,
208,FACTOR,Commercial brokerage services,Trade and commerce,
449,PAWN BROKER,Commercial brokerage services,Trade and commerce,
10,ARCHITECT,"Construction, repair and maintenance of residences and general construction work",Construction,
70,"BRICKLAYER, MAURER","Construction, repair and maintenance of residences and general construction work",Construction,
74,BUILDER,"Construction, repair and maintenance of residences and general construction work",Construction,
115,CHIMNEY SWEEPER,"Construction, repair and maintenance of residences and general construction work",Construction,
170,DECORATOR,"Construction, repair and maintenance of residences and general construction work",Construction,
176,DIGGER,"Construction, repair and maintenance of residences and general construction work",Construction,
198,ELECTRICIAN,"Construction, repair and maintenance of residences and general construction work",Construction,
279,GRAVER,"Construction, repair and maintenance of residences and general construction work",Construction,
300,HEATOR,"Construction, repair and maintenance of residences and general construction work",Construction,
310,HOUSE CARPENTER,"Construction, repair and maintenance of residences and general construction work",Construction,
312,HOUSE PAINTER,"Construction, repair and maintenance of residences and general construction work",Construction,
388,MARBLE WORKER,"Construction, repair and maintenance of residences and general construction work",Construction,
391,MASON,"Construction, repair and maintenance of residences and general construction work",Construction,
441,PAINTER,"Construction, repair and maintenance of residences and general construction work",Construction,
443,PAPER HANGER,"Construction, repair and maintenance of residences and general construction work",Construction,
448,PAVER,"Construction, repair and maintenance of residences and general construction work",Construction,
460,PIPE LAYER,"Construction, repair and maintenance of residences and general construction work",Construction,
466,PLASTERER,"Construction, repair and maintenance of residences and general construction work",Construction,
470,PLUMBER,"Construction, repair and maintenance of residences and general construction work",Construction,
471,"POINT CUTTER, POINTER","Construction, repair and maintenance of residences and general construction work",Construction,
514,"ROOFER, ROOF MAKER","Construction, repair and maintenance of residences and general construction work",Construction,
545,SHINGLER,"Construction, repair and maintenance of residences and general construction work",Construction,
570,SLATER,"Construction, repair and maintenance of residences and general construction work",Construction,
600,STRAW WORKER,"Construction, repair and maintenance of residences and general construction work",Construction,
607,SWEEPER,"Construction, repair and maintenance of residences and general construction work",Construction,
620,THATCHER,"Construction, repair and maintenance of residences and general construction work",Construction,
