resID,resdn,count,sptl_unit,tsar_trty,geonm_crd,geonm_lat,geonm_long,geonm_url,cnfdnc,alt_tpnm,note
1,Uleaborg,18,town,yes,"65.01236, 25.46816",65.01236,25.46816,https://www.geonames.org/643492/oulu.html,3,,
2,Arkhangelsk,12,town,yes,"64.5401, 40.5433",64.5401,40.5433,https://www.geonames.org/581049/arkhangel-sk.html,3,ARCHANGELSK,
3,Wasa,1194,town,yes,"63.096, 21.61577",63.096,21.61577,https://www.geonames.org/632978/vaasa.html,3,VASA,
4,Viborg,28,town,yes,"60.70763, 28.75283",60.70763,28.75283,https://www.geonames.org/470546/vyborg.html,3,,
5,Abo,347,town,yes,"60.45148, 22.26869",60.45148,22.26869,https://www.geonames.org/633679/turku.html,3,,
6,Bergen,75,town,no,"60.39299, 5.32415",60.39299,5.32415,https://www.geonames.org/3161732/bergen.html,3,,
7,Aland,41,region,yes,"60.25, 20",60.25,20,https://www.geonames.org/661882/aland-islands.html,3,AALAND; ALANO; ALANS,
8,Helsingfors,457,town,yes,"60.16952, 24.93545",60.16952,24.93545,https://www.geonames.org/658225/helsinki.html,3,HELSINKY; HEBSINGJARS; HELVINGFOR,
9,Belzoro,68,town,yes,"60.0288, 37.8084",60.0288,37.8084,https://www.geonames.org/577711/belozersk.html,3,BELOZERKOWO,
10,St. Peterburg,1685,town,yes,"59.93863, 30.31413",59.93863,30.31413,https://www.geonames.org/498817/saint-petersburg.html,3,PETERSBURG,
11,Peterhof,23,town,yes,"59.88333, 29.9",59.88333,29.9,https://www.geonames.org/510291/peterhof.html,1,,alternate location in Germany
12,Hango,105,town,yes,"59.83333, 22.95",59.83333,22.95,https://www.geonames.org/659101/hanko.html,3,,
13,Revel,157,town,yes,"59.43696, 24.75353",59.43696,24.75353,https://www.geonames.org/588409/tallinn.html,3,,
14,Narva,34,town,yes,"59.37722, 28.19028",59.37722,28.19028,https://www.geonames.org/590031/narva.html,3,,
15,Stockholm,375,town,no,"59.32938, 18.06871",59.32938,18.06871,https://www.geonames.org/2673730/stockholm.html,3,,
16,Novgorod,147,town,yes,"58.52131, 31.27104",58.52131,31.27104,https://www.geonames.org/519336/velikiy-novgorod.html,3,,
17,Dorpat,85,town,yes,"58.38062, 26.72509",58.38062,26.72509,https://www.geonames.org/588335/tartu.html,3,,
